,roadwork_id,loaddatetimeutc,road,type,roadwork_from,roadwork_to,roadwork_label,roadwork_reason,roadwork_start,roadwork_stop,radar_codedirection,roadwork_fromloc_lat,roadwork_fromloc_lon,roadwork_toloc_lat,roadwork_toloc_lon,roadwork_segmentid,segmentstart,segmentend,roadwork_afrc,roadwork_category,roadwork_type
3398,266640572.0,2021-03-24 01:59:00,A58,a,Oirschot,Oirschot,closed,De op- en afrit is dicht. Van 23 maart 2021 22:00 uur tot 24 maart 2021 03:00 uur.,2021-03-23 21:00:00,2021-03-24 02:00:00,1.0,51.49392,5.30861,51.49392,5.30861,3355.0,Tilburg,Eindhoven,0.0,roadworks,a
3399,266640621.0,2021-03-24 01:59:00,A58,a,Best,Best,closed,De op- en afrit is dicht. Van 23 maart 2021 22:00 uur tot 24 maart 2021 03:00 uur.,2021-03-23 21:00:00,2021-03-24 02:00:00,1.0,51.4862,5.38656,51.4862,5.38656,3355.0,Tilburg,Eindhoven,0.0,roadworks,a
3400,266534381.0,2021-03-24 02:58:00,A2,a,Born,Born,closed,De op- en afrit is dicht. Van 22 maart 2021 tot 24 maart 2021 dagelijks tussen 21:00 uur en 04:00 uur.,2021-03-22 20:00:00,2021-03-24 03:00:00,0.0,51.03946,5.82529,51.03946,5.82529,3102.0,Eindhoven,Maastricht,0.0,roadworks,a
3401,266640774.0,2021-03-24 02:58:00,A1,a,Voorthuizen,Voorthuizen,closed,De op- en afrit is dicht. Van 23 maart 2021 23:59 uur tot 24 maart 2021 03:59 uur.,2021-03-23 22:59:00,2021-03-24 02:59:00,1.0,52.16876,5.59499,52.16876,5.59499,3001.0,Amersfoort,Apeldoorn,0.0,roadworks,a
3402,266583034.0,2021-03-24 02:58:00,A15,a,Echteld,Echteld,closed,De afrit is dicht. Van 23 maart 2021 23:59 uur tot 24 maart 2021 04:00 uur.,2021-03-23 22:59:00,2021-03-24 03:00:00,1.0,51.91262,5.48546,51.91262,5.48546,3057.0,Gorinchem,Nijmegen,0.0,roadworks,a
3403,266642631.0,2021-03-24 03:59:00,A50,a,knp. Hattemerbroek,knp. Hattemerbroek,,Uitgebreide wegwerkzaamheden. Van 23 maart 2021 21:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 20:00:00,2021-03-24 04:00:00,0.0,52.48626,6.0233,52.48626,6.0233,3342.0,Zwolle,Apeldoorn,0.0,roadworks,a
3404,265813140.0,2021-03-24 03:59:00,A76,a,Nuth,knp. Kerensheide,closed,Dicht. Van 23 maart 2021 21:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 20:00:00,2021-03-24 04:00:00,0.0,50.93119,5.88359,50.96741,5.78553,3420.0,Heerlen,Belgische grens,0.0,roadworks,a
3405,266640718.0,2021-03-24 03:59:00,A65,a,Berkel-Enschot,Berkel-Enschot,closed,Afrit dicht. Van 23 maart 2021 21:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 20:00:00,2021-03-24 04:00:00,1.0,51.57576,5.14583,51.57576,5.14583,3380.0,Tilburg,'s-Hertogenbosch,0.0,roadworks,a
3406,266260572.0,2021-03-24 03:59:00,A58,a,de Vlaketunnel,de Vlaketunnel,closed,Dicht. Van 23 maart 2021 21:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 20:00:00,2021-03-24 04:00:00,2.0,51.46692,4.00697,51.46692,4.00697,3351.0,Vlissingen,Bergen op Zoom,0.0,roadworks,a
3407,266640817.0,2021-03-24 03:59:00,A73,a,Beuningen,Beuningen,closed,Oprit dicht. Van 23 maart 2021 20:30 uur tot 24 maart 2021 05:00 uur.,2021-03-23 19:30:00,2021-03-24 04:00:00,1.0,51.85105,5.74765,51.85105,5.74765,3410.0,Maasbracht,Nijmegen,0.0,roadworks,a
3408,2662605720.0,2021-03-24 03:59:00,A58,a,de Vlaketunnel,de Vlaketunnel,closed,Dicht. Van 23 maart 2021 21:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 20:00:00,2021-03-24 04:00:00,2.0,51.46692,4.00697,51.46692,4.00697,3351.0,Bergen op Zoom,Vlissingen,0.0,roadworks,a
3409,266581257.0,2021-03-24 03:59:00,A4,a,Den Hoorn,Den Hoorn,closed,De op- en afrit is dicht. Van 23 maart 2021 21:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 20:00:00,2021-03-24 04:00:00,1.0,51.99438,4.31888,51.99438,4.31888,3301.0,Rotterdam,Den Haag,0.0,roadworks,a
