Id|Budget|Revenue|Title|CastSize|CrewSize|DirectorPopularity|CastPopularity|Release|Genre|Collection|AvgCastPopularity
451|3800000.0|49800000.0|Leaving Las Vegas|43.0|114.0|4.285|418.736|1995-10-27|Drama|False|9.738046511627907
452|2500000.0|7235.0|The Idiots|39.0|18.0|10.025|123.928|1998-04-28|Comedy|False|3.1776410256410257
453|69000000.0|315605199.5|A Beautiful Mind|40.0|141.0|12.114|298.457|2001-12-11|Drama|False|7.461425
454|14500000.0|147298761.0|Romeo + Juliet|41.0|88.0|4.924|331.213|1996-11-01|Drama|False|8.078365853658537
455|3500159.0|76578641.0|Bend It Like Beckham|15.0|25.0|3.056|115.845|2002-04-11|Comedy|False|7.723
462|51000000.0|257038264.5|Erin Brockovich|56.0|132.0|5.505|301.276|2000-03-17|Drama|False|5.379928571428572
466|2500000.0|12512637.0|Klute|34.0|24.0|3.672|128.595|1971-06-23|Mystery|False|3.782205882352941
468|2500000.0|6401336.0|My Own Private Idaho|50.0|36.0|5.706|205.812|1991-02-01|Drama|False|4.11624
470|20000000.0|60427839.0|21 Grams|53.0|14.0|7.242|303.187|2003-09-06|Drama|False|5.720509433962264
473|64000.0|3949832.5|Pi|29.0|48.0|5.137|84.722|1998-07-10|Mystery|False|2.9214482758620686
475|2500000.0|50700000.0|Bonnie and Clyde|16.0|36.0|2.064|110.563|1967-07-18|Crime|False|6.9101875
476|2500000.0|4729352.0|Drugstore Cowboy|21.0|45.0|5.706|136.85|1989-10-20|Drama|False|6.516666666666667
479|49506469.0|107408116.5|Shaft|101.0|51.0|5.091|508.716|2000-06-15|Action|True|5.036792079207921
482|4000000.0|12121618.0|Shaft|43.0|16.0|1.267|114.488|1971-06-25|Action|True|2.662511627906977
483|9500000.0|14560247.0|Wild at Heart|41.0|162.0|19.221|330.408|1990-08-17|Comedy|False|8.058731707317074
488|1000000.0|10750000.0|The African Queen|8.0|29.0|13.594|51.692|1952-01-07|Adventure|False|6.4615
489|10000000.0|225929712.0|Good Will Hunting|48.0|89.0|5.706|305.706|1997-12-05|Drama|False|6.368875
492|13000000.0|27622988.5|Being John Malkovich|63.0|33.0|12.118|324.299|1999-10-29|Comedy|False|5.147603174603174
493|1978000.0|10000000.0|Shaft's Big Score!|27.0|12.0|1.267|69.946|1972-06-08|Action|True|2.5905925925925923
494|2142000.0|1458000.0|Shaft in Africa|23.0|10.0|5.384|92.782|1973-06-14|Adventure|True|4.034
496|18000000.0|262552893.0|Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan|12.0|30.0|3.195|51.94|2006-11-01|Comedy|True|4.328333333333333
497|60000000.0|288751374.0|The Green Mile|43.0|52.0|18.858|344.5|1999-12-10|Fantasy|False|8.011627906976743
500|1200000.0|2925215.0|Reservoir Dogs|25.0|83.0|30.107|180.578|1992-09-02|Crime|False|7.22312
503|160000000.0|181674817.0|Poseidon|31.0|186.0|7.78|249.401|2006-05-10|Adventure|False|8.045193548387097
504|6500000.0|62289452.5|Monster|37.0|42.0|5.851|186.361|2003-12-24|Crime|True|5.036783783783783
505|20000000.0|7237794.0|Johnny Handsome|14.0|50.0|7.326|166.281|1989-09-12|Crime|False|11.877214285714286
506|2135000.0|7000000.0|Marnie|38.0|17.0|14.734|197.274|1964-07-17|Crime|False|5.191421052631579
507|1500000.0|418961.0|Killing Zoe|16.0|9.0|3.972|114.65|1993-10-01|Action|False|7.165625
508|40000000.0|244931766.0|Love Actually|71.0|283.0|9.044|687.183|2003-09-07|Comedy|False|9.6786338028169
509|42000000.0|363803937.0|Notting Hill|35.0|17.0|2.152|314.654|1999-05-21|Romance|False|8.990114285714286
510|3700000.0|136127695.0|One Flew Over the Cuckoo's Nest|34.0|41.0|2.558|221.189|1975-11-18|Drama|False|6.5055588235294115
512|4000000.0|35844081.5|Scoop|54.0|95.0|18.14|380.898|2006-07-27|Comedy|False|7.053666666666667
521|1400000.0|3000000.0|Dial M for Murder|19.0|20.0|14.734|88.784|1954-05-29|Crime|False|4.672842105263158
522|18000000.0|5858095.5|Ed Wood|70.0|69.0|17.552|463.656|1994-09-27|Comedy|False|6.623657142857143
524|52000000.0|113256187.5|Casino|52.0|115.0|21.01|349.556|1995-11-22|Crime|False|6.722230769230769
525|27000000.0|86237491.5|The Blues Brothers|60.0|24.0|5.375|279.634|1980-06-16|Music|True|4.660566666666667
526|20000000.0|18416000.0|Ladyhawke|18.0|40.0|7.858|137.497|1985-03-27|Adventure|False|7.638722222222223
533|30000000.0|195101762.0|Wallace & Gromit: The Curse of the Were-Rabbit|20.0|242.0|5.256|157.084|2005-09-04|Adventure|False|7.8542000000000005
534|200000000.0|368422396.5|Terminator Salvation|50.0|111.0|5.398|414.161|2009-05-20|Action|True|8.28322
535|5500000.0|147192388.5|Flashdance|26.0|66.0|5.092|137.549|1983-04-14|Drama|False|5.290346153846154
539|806947.0|50000000.0|Psycho|34.0|27.0|14.734|189.801|1960-06-22|Horror|True|5.582382352941176
541|1000000.0|4350000.0|The Man with the Golden Arm|18.0|32.0|5.038|87.842|1955-12-26|Drama|False|4.880111111111111
544|22500000.0|369884651.0|There's Something About Mary|33.0|124.0|3.22|288.134|1998-07-15|Romance|False|8.731333333333334
546|1000000.0|13350369.0|Transamerica|15.0|16.0|1.961|109.191|2005-12-23|Drama|False|7.2794
547|60000000.0|186883563.0|The Horse Whisperer|22.0|35.0|22.021|244.855|1998-05-14|Drama|False|11.129772727272726
548|250000.0|96568.0|Rashomon|8.0|21.0|24.273|53.372|1950-08-26|Crime|False|6.6715
