# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 370         5.377       51.451      22.60       Eindhoven   
# RHX       : Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# RHXH      : Uurvak waarin RHX is gemeten / Hourly division in which RHX was measured
# STN,YYYYMMDD,  RHX, RHXH
  370,20180714,    0,    1
  370,20180715,    0,    1
  370,20180716,   -1,    1
  370,20180717,   -1,    1
  370,20180718,    0,    1
  370,20180719,    0,    1
  370,20180720,    3,   21
  370,20180721,    0,    1
  370,20180722,    0,    1
  370,20180723,    0,    1
  370,20180724,    0,    1
  370,20180725,    5,    6
  370,20180726,   -1,    1
  370,20180727,   -1,    1
  370,20180728,   13,    2
  370,20180729,   -1,    1
  370,20180730,   -1,    1
  370,20180731,    0,    1
  370,20180801,    0,    1
  370,20180802,    0,    1
  370,20180803,    0,    1
  370,20180804,    0,    1
  370,20180805,    0,    1
  370,20180806,    0,    1
  370,20180807,   39,   24
  370,20180808,   12,    2
  370,20180809,   34,   12
  370,20180810,   29,   24
  370,20180811,   -1,    1
  370,20180812,   -1,    1
  370,20180813,   54,   18
  370,20180814,   14,    4
  370,20180815,    0,    1
  370,20180816,    0,    1
  370,20180817,   34,    3
  370,20180818,    0,    1
  370,20180819,    0,    1
  370,20180820,    0,    1
  370,20180821,    0,    1
  370,20180822,    0,    1
  370,20180823,   21,   21
  370,20180824,    3,    6
  370,20180825,   17,   13
  370,20180826,    7,   23
  370,20180827,    2,    3
  370,20180828,    0,    1
  370,20180829,   58,   16
  370,20180830,    0,    1
  370,20180831,    0,    1
  370,20180901,    0,    1
  370,20180902,    0,    1
  370,20180903,    3,   12
  370,20180904,   -1,    1
  370,20180905,   35,   23
  370,20180906,   24,   14
  370,20180907,   11,    6
  370,20180908,   -1,    1
  370,20180909,   -1,    1
  370,20180910,    0,    1
  370,20180911,    0,    1
